Samp	Raw	Cleaned
BEC002	4345636	4335404
BEC323	6352898	6318248
BEC324	9248452	9222992
BEC325	7091988	6924336
BEC326	5502848	5487104
BEC327	5621842	5592444
BEC328	5600472	5585960
BEC329	6760210	6728418
BEC330	5740248	5724072
BEC331	5903360	5887984
BEC332	5823108	5792142
BEC333	7106504	6969228
BEC334	6846528	6809800
BEC335	7077864	7042234
BEC336	7242838	7217262
BEC337	5582360	5562058
BEC338	6388424	6365398
BEC340	5907340	5890966
BEC341	5676622	5667040
BEC342	5732772	5718860
BEC343	5695250	5685028
BEC344	6420042	6403442
BEC345	6320250	6301586
BEC346	6153352	6134434
BEC347	5800170	5782756
BEC348	7420742	7398416
BEC349	8654106	8636856
BEC350	14637246	14600066
zymo	210002	209710
